Artista,Género,Tipo,Nombre,Año,ID
Freddie King,blues,track,Big Legged Woman - Remastered,2000.0,2DQNcMIYVQwpShcFU9GZfV
Sam Cooke,blues,track,Movin' and Groovin',2000.0,4jaLgfNiPUQKpMfdTUG00J
Calvin Russell,blues,track,Rats and Roaches,2000.0,04jcKEKasC0Za3Lwij8Qs3
Johnny & The Jailbirds,blues,track,Pretending,2000.0,2MfCuw9W2aBtamGmCCcNtE
Ten Years After,blues,track,Good Morning Little Schoolgirl - Live,2000.0,3mqtOBDCacrTc5wwpvaqIn
The White Stripes,blues,track,"Sister, Do You Know My Name?",2000.0,1h1CncaFyTssQ9zGiHy1Ez
Sista Monica,blues,track,Honey It's Your Fault,2000.0,5YpqRyGuBn5etkcVncz6fv
B.B. King,blues,track,I Got Some Help I Don't Need,2000.0,3hOhranovtYFweLwF5UHaU
Freddie King,blues,track,Reconsider Baby - Remastered,2000.0,5Avx6u0cFb5P0fL4qzijGC
Blues Company,blues,track,Invitation to the Blues,2000.0,6KgCVYAl7OUOlsKy3k7Ajj
B.B. King,blues,track,Never Trust A Woman,2000.0,4IISGbUpoUAXqDdZews1ve
Johnny & The Jailbirds,blues,track,She Can Blow It,2000.0,0PBUMWVAhjcAWmCVD0nCVh
Calvin Russell,blues,track,I Gave My Soul to You,2000.0,11aV4H2ByFqHmeqptCRfed
Shemekia Copeland,blues,track,Beat Up Guitar,2000.0,5MXGqDBmhnHELueZgK6ypP
Mississippi John Hurt,blues,track,Spike Driver Blues,2000.0,0QcYseQfUmZpjXGoXDT9z4
Gov't Mule,blues,track,Bad Little Doggie,2000.0,0J7W6f3S8CienuTyjZOGzh
Status Quo,blues,track,Sweet Home Chicago,2000.0,4PH13VJJov8vDEvtZXmMO1
Mark Selby,blues,track,More Storms Comin',2000.0,1jX7dfgIhSxeKN0tsF4Qd5
Sista Monica,blues,track,You're Only Good For One Thang Baby,2000.0,0CLPTSldV2Dp016RKyBUqi
Son House,blues,track,Grinnin' In Your Face,2000.0,1JIIvzT8aX6v7LmZ1FolCM
Chris Smither,blues,track,Hold On I,2000.0,5hN4Rb80cAYgzl48f0r8ED
R.L. Burnside,blues,track,Wish I Was in Heaven Sitting Down,2000.0,23Ry7IvrU6JBcxkpdqsPaw
Joe Bonamassa,blues,track,Walk In My Shadow,2000.0,6d9qqpoy4h5jaxLqtXTPp5
James Intveld,blues,track,One Sweet Letter,2000.0,6MAk3v3dnzC4PefLYb2Khk
Rusty Zinn,blues,track,Just Like A Fish,2000.0,70ip0BmVSrmwxhWHOj58uf
Etta James,blues,track,Hound Dog,2000.0,52auP9OuR9q0qR2OQxM5l0
Tommy Johnson,blues,track,Canned Heat Blues,2000.0,1Uk2MppskA0wnHUj8JwYfC
R.L. Burnside,blues,track,Chain of Fools,2000.0,3KnL2z3TlXXXR8FajWlMKC
Heidi Hauge,blues,track,Seven Spanish Angels,2000.0,5HUAeWErePG0lltQXvIFdi
R.L. Burnside,blues,track,Hard Time Killing Floor,2000.0,6gQ9gDBM2FZ7sOtkxWL59B
Etta James,blues,track,Gotta Serve Somebody,2000.0,3znc6Qz7GFhxpCIunARAuq
Julian Sas,blues,track,A Light in the Dark,2000.0,4Qwp0cKTBpzTkDJ7irbA33
B.B. King,blues,track,Makin' Love Is Good For You,2000.0,3V4cXvtMvp38DRAa666XRp
The Robert Cray Band,blues,track,All the Way,2000.0,4AdSZ9NCONM50Nu4xGCAO3
The Brian Setzer Orchestra,blues,track,Jumpin' East Of Java,2000.0,7lEB9zJVSZjohbGGfiFsc6
Big Bill Broonzy,blues,track,"Hey, Hey Baby",2000.0,2GOztq545KfhVtznk79MXP
The Refreshments,blues,track,55 Ford,2000.0,167hNam1NEEAks9trHWRzu
Calvin Russell,blues,track,A Crack in Time,2000.0,4WiQ1wfIirxX7a45PvZ0TV
Sue Foley,blues,track,Two Trains,2000.0,1E6zG7BknaI9FQPIhb7o9r
Rusty Zinn,blues,track,The Chill,2000.0,2NaenrM8Lt2WkuoPgHNG5D
The White Stripes,blues,track,I'm Bound to Pack It Up,2000.0,6OqZHxZHTJ1PHgK7KQZDLw
Gary Moore,blues,track,Picture of the Moon,2001.0,4p5JmnN6CJfJC0qv1l3ZOr
Eric Clapton,blues,track,Come Back Baby,2001.0,2E6vBwXFzoGkKwzhU5QXfc
Delbert McClinton,blues,track,Gotta Get It Worked On,2001.0,5HdzX6cYAE5njMzJ3N4nHD
Jimmy Smith,blues,track,Strut,2001.0,4p136B1BNOfPvupfTV9JpS
Gary Moore,blues,track,Drowning in Tears,2001.0,6h6LeK8crumuIk9411mzeN
"Clarence ""Gatemouth"" Brown",blues,track,Going Back To Louisiana,2001.0,5JHcdhriOeUkjXlgEIO1o4
Marcia Ball,blues,track,Let The Tears Roll Down,2001.0,5jGTsMUMWHXrgcTHyJrLho
Peter Green Splinter Group,blues,track,Burglar,2001.0,5C1FrXg3jpHH96FnQjaaqz
Mario Bradley,blues,track,She's Got Me Hypnotised,2001.0,3jf7xQhSIfhFhutNzIbosj
Otis Taylor,blues,track,My Soul's in Louisiana,2001.0,6nF41yFBkDcx1BYJqtj8Na
John Hammond,blues,track,Get Behind The Mule,2001.0,360iblLqhydYEtT2vKWGIG
Tommy Castro,blues,track,Lucky In Love,2001.0,5crPehKsHQaZdZZECCHk1p
Luther Allison,blues,track,It's Been A Long Time,2001.0,5IJL01MoZVwVr0J8IWfWii
Eric Clapton,blues,track,Travelin' Light,2001.0,0ZEMhVzomYyGJfag75ucU4
The Hoodoo Kings,blues,track,Hard Times,2001.0,6fCbc4NrOEU96KtdPTupuS
Eric Clapton,blues,track,Believe in Life,2001.0,2KPdHHPl7od6KsmuZs1d7u
Eric Clapton,blues,track,Broken Down,2001.0,0XCzXOlId8XJvtcYq7NmLc
Gov't Mule,blues,track,Banks Of The Deep End,2001.0,1b2S3hshRyAQw26g5ZwAUv
Alicia Keys,blues,track,A Woman's Worth,2001.0,0rimetBQIYXE3uMCbuXBUa
Jools Holland,blues,track,Horse To The Water,2001.0,5d4s9ZtVK61HcaxLAFoOpa
Saffire-The Uppity Blues Women,blues,track,Ain't Gonna Hush,2001.0,62Zws2ATx9MYalkQ5O5Jvw
John Hammond,blues,track,Jockey Full Of Bourbon,2001.0,444K26ZZpRg8kFlVK0vLZ1
The Bellfuries,blues,track,Gonna Make It Alone,2001.0,1g5nF1Kafdr4654nPVlGHn
Johnny Nicholas,blues,track,Rockin' My Blues To Sleep,2001.0,2lCkGtlugyFeYIkE1FfsA1
Zucchero,blues,track,I Lay Down,2001.0,1ZNcJrNdX4HbO6NGj8tlaL
Eric Clapton,blues,track,Don't Let Me Be Lonely Tonight,2001.0,6oSUeW4gAMJb35uxAZqzUd
Zucchero,blues,track,Ali D'Oro,2001.0,0U2g0D3nV8oS6qdEAqYZqT
Delbert McClinton,blues,track,When Rita Leaves,2001.0,3TpDYJXdWXQ3wpJce5hzwV
The White Stripes,blues,track,Little Room,2001.0,1ltf1XEP18QMCMRRQtFbAl
Eric Sardinas,blues,track,8 Goin' South,2001.0,6MTpSIDkEeWFhrKXcv0qCf
Eric Clapton,blues,track,Got You on My Mind,2001.0,1XvZ0c0feXwjHnWxUS0Bb4
Elmore James,blues,track,Dust My Broom,2001.0,60Xj5mdE068zva3Kjdn0xQ
Elmore James,blues,track,Dust My Broom,2001.0,7tRSn74Vk4VJyROCOGuqr2
Magic Sam,blues,track,All Your Love,2001.0,73GEVn1tqk9bn0KbtWsiqj
Jools Holland,blues,track,I Put a Spell on You,2001.0,7tH23Db7LJCwk3kMqcEPqo
Peter Green Splinter Group,blues,track,Feeling Good,2001.0,01xVkxfBdFjCs81ulJLzK4
Tony Bennett,blues,track,Evenin' (with Ray Charles),2001.0,3BYcF3H1qbzBPkuhXNbC9z
Elmore James,blues,track,The Sky Is Crying,2001.0,1cRTAPP2FG9h2WiYMOIVIK
Marcia Ball,blues,track,Louella,2001.0,6KM7FlnvLrETbLpoNCjxYE
Gary Moore,blues,track,Enough of the Blues,2001.0,0GpmhLZAjrf2lFetUDfQow
Etta James,blues,track,I'd Rather Go Blind,2001.0,6BXSDzTAXk5JyfkKJTLWlq
Michael Burks,blues,track,Don't Let It Be A Dream,2001.0,7e2vzOJwlC5sGsqRXC8dvq
Tony Bennett,blues,track,Let the Good Times Roll (with B.B. King),2001.0,2Pw5vIumO9PGcvtbHXQ3rZ
David Gogo,blues,track,This Is A Man's World,2001.0,5BMR9VI6UhtSvxcMTiSkev
Jimmy Smith,blues,track,I Just Wanna Make Love To You,2001.0,1uxasgAnJi3jZZkGuJWQFk
Gary Moore,blues,track,The Prophet,2001.0,7cOHoi3w2GhckxsC3L5pAC
Elmore James,blues,track,Dust My Broom,2001.0,0fM0mFxHP1R4KPX1PB8tWU
Michael Burks,blues,track,Make It Rain,2001.0,01MWMVIJ5PDKOLuoZm3AL7
Elmore James,blues,track,The Sky Is Crying,2001.0,0qRz3AYteD6VX65GkBqcel
Luther Allison,blues,track,Bad News Is Coming,2001.0,1TRIYxcVJYPki5AX2hZzZT
The Robert Cray Band,blues,track,Baby's Arms,2001.0,25bi0JLX3oebqZgiyrzEWg
Ivory Joe Hunter,blues,track,Are you hep,2001.0,6WFMM1Dnwm4tik2VVgYJgE
Ray Collins' Hot Club,blues,track,Get a Move on It,2001.0,0I7BInPdI4yioiigNZmcmQ
Luther Allison,blues,track,Evil Is Going On,2001.0,7jOuA32z463sDZCyEnK6A7
Randy Crawford,blues,track,Merry Go Round,2001.0,3mC6DyVMcCHbR6N1c1KBxw
Big Bill Broonzy,blues,track,Get Back,2001.0,4267BjujPBkzhdlbXYHQHG
