Artista,Género,Tipo,Nombre,Año,ID
El Cuarteto De Nos,latin pop,track,Pegame Y Decime Shirley,2000,5OPEU3148saJYZplRlZn8U
Ana Torroja,latin pop,track,Hacer por hacer,2000,3bJMFkv8AhKbE9CDJYp5G8
Ana Torroja,latin pop,track,Siete de septiembre,2000,6fzT2ceqglZpffBISnqM7w
Ana Torroja,latin pop,track,Hijo de la luna,2000,2aFPq8f2xlJQFTYlJ8nOMr
Paulina Rubio,latin pop,track,Vive El Verano,2000,13hnZOARWepu30E9lhn4jO
Ana Torroja,latin pop,track,Si tú no vuelves,2000,07HhvYazaf4LyXNKpmDb5J
Debelah Morgan,latin pop,track,Dance with Me,2000,1C2Q3AymKS17bw7T5gfq6p
Chayanne,latin pop,track,Ay Mama,2000,3x7w1y7WLU7lpCSh39VSrZ
Monica Naranjo,latin pop,track,Enamorada - Versión Spanglish,2000,47HyGKYsNixYjBglT2PMhl
Rey Ruiz,latin pop,track,Muevelo,2000,2z7qJyoZCeNUyyt7z0Ha1U
Ana Torroja,latin pop,track,Amante bandido,2000,2lMAx2mhNdHdgw0qDZ2PSB
Walter Olmos,latin pop,track,No Me Mientas,2000,0mYPt9hLmZZvqWAbR9SdNj
Thalia,latin pop,track,Reencarnacion,2000,1iT6VaEqoBLCQcAYH75jOC
Bertin Osborne,latin pop,track,Popurrí Mexicano,2000,6vV6BhzqwsuFFRBh1L0mOq
Nek,latin pop,track,Llegas tu,2000,3YX0QfZP4EhzAc4PmlUlTS
La Retrocumbia,latin pop,track,Popurri - Cartagenera - El orangutan - No te vayas - La Piragua - Cumbia sobre el mar,2000,0PDd6bNpNQdJXQhvNWSC3O
La Gran Banda,latin pop,track,Popurri Romantico,2000,312V3J3wZS2wv53UsD97oy
La Retrocumbia,latin pop,track,"Popurri - Alejate de mi - Mentiras, mientras - Muchacha ojos de miel",2000,3vWUFIYGhO5AH4jvgVouPv
Luis Alberto Posada,latin pop,track,Cruz de Dolor,2000,5GODB1nafsfms7LyFymC4V
Luis Alberto Posada,latin pop,track,No Soy un Juguete,2000,7JoZyPwW1w1TjoO5yrzks0
La Retrocumbia,latin pop,track,Popurri - Las chiquillas - La Revoltosa - El Parrandero - Pajaro del monte,2000,5oWiYUPBnKii0nuqfzr30o
La Retrocumbia,latin pop,track,Popurri - El pescador - Todos los domingos - Atrevete a mirarme de frente - Santa Martha - Se va el caiman - La Burrita - Quiero un sombrero - Para que,2000,52b25x2jxiV9Iapiq2ni6s
Los Razos,latin pop,track,Chingon De Chingones,2000,5lduUBDO2K74wlWcReMTJ8
Beto Quintanilla,latin pop,track,El Plebe y el Cholo,2000,2jR8SDgmlxxxsiJ2iwd6Ms
Walter Olmos,latin pop,track,Chico De La Calle,2000,4zmK84b3QtttgoP5mNZpse
Walter Olmos,latin pop,track,Por Lo Que Yo Te Quiero,2000,3dKjmF3Yjl79hybcSkE9M5
Beto Quintanilla,latin pop,track,Raquenel Villanueva,2000,71rQncW9uGaAg4QplpEbeL
Walter Olmos,latin pop,track,Extrañándote,2000,0zXjhiCo3x42xLcxK0GoFf
Juanes,latin pop,track,Nada,2000,0fxLW78I51KMo6SNMm7Fcg
Ana Torroja,latin pop,track,Nena,2000,05lfAUHuoiSTGESSyLbiZ4
Ana Torroja,latin pop,track,Un año más,2000,58dwFuu8GK2Gnab1ucCSlj
Jean Carlos,latin pop,track,A Puro Dolor,2000,2K5ureC8z6V2dAtj0B8ASW
Donato Y Estefano,latin pop,track,Toma Tu Tiempo Y Suena,2000,3ANzgIoMEW7KobbWrA6crP
La Oreja de Van Gogh,latin pop,track,Rosas,2000,0iCTZBrskLb7xIZBuGcNrn
La Mosca,latin pop,track,Cha Cha Cha,2000,36in1jDriTe1PQhU4iTKkv
Ana Torroja,latin pop,track,Bambú,2000,1TuvKksFlFgn6D3VkGUhPs
Walter Olmos,latin pop,track,Ay Corazón,2000,2qOIRBrWn2fll2ude8zBo4
Jimmy Bosch,latin pop,track,Pa' Mantener Tradición,2000,5m9rNQ7CqWffaZGBXTF98n
Shakira,latin pop,track,No Creo - En Vivo,2000,1GM2ouHHKW3tuCzjSZKIyr
Donato Y Estefano,latin pop,track,Naturaleza,2000,6oGgP96pCoPGVH9WhFZus0
Ana Torroja,latin pop,track,Salamandra,2000,6dLlU2XOMZLWoXrKA9baY8
Laura Pausini,latin pop,track,Somos hoy,2000,4PMRRIFC8I23pWOxvYpAK2
Alejandro Sanz,latin pop,track,El alma al aire,2000,0JDTLHMnltIIVnXi72RTom
Alejandro Sanz,latin pop,track,Cuando nadie me ve,2000,0bfPmBR6iN2cyJQJUUQOG0
Ana Torroja,latin pop,track,A contratiempo,2000,7zDsplBsyc0cyZoR9AJYWt
El Cuarteto De Nos,latin pop,track,Me Amo,2000,5aRef1fGbwM1t0MqXSrwzV
Walter Olmos,latin pop,track,Amor De Adolescentes,2000,2ChbVApTbkUwVmd4xOvLtP
Chayanne,latin pop,track,Hasta Que El Alma Resista,2000,24roOHa0bnZSohbWE7Ligd
Ana Torroja,latin pop,track,Muro,2000,4KYnziYaVyyM2KHT2hZfZI
El Cuarteto De Nos,latin pop,track,No Somos Latinos,2000,3Hh2NDo6xmxPZEVQ4E7NOT
Donato Y Estefano,latin pop,track,Entre La Linea Del Bien Y La Linea Del Mal,2000,4iKnaiZ1Rb1emdpboOte67
Ana Torroja,latin pop,track,Como sueñan las sirenas,2000,3SYX4F2sGa3k3sTnQD1oC5
Juanes,latin pop,track,Podemos Hacernos Daño,2000,4dK3GtjIEt42iVHo3qjMss
Ricky Martin,latin pop,track,Dame Más (Loaded) - Spanish Edit,2000,3zBP6rvzlBtcn1gEsgzeBI
Julio Iglesias,latin pop,track,No Es Amor Ni Es Amar (Gone Too Far),2000,3yggjuzrpJ9qNnVuz6va83
