Artista,Género,Tipo,Nombre,Año,ID
Orbital,electronic,track,Beached - Long Version,2000,2uwDAsKDFUCFaWmlxevHoE
Hybrid,electronic,track,Kid 2000 - Live In Tokyo,2000,1rj4vO3APq3QB8z2hif4fP
Air,electronic,track,Cemetary Party,2000,74wMVIurmVVrur2PyotRO3
Marilyn Manson,electronic,track,In The Shadow Of The Valley Of Death,2000,0dbRluMsv9I0FAnTIaGeUC
Boards of Canada,electronic,track,Kid For Today,2000,5jRkJXPo4SiPaTCNzn01X8
Greyboy,electronic,track,To Know You Is to Love You,2000,19x3I9FaVhvbKIypP2oEWo
666,electronic,track,Supadupafly - On Air Edit,2000,66KWd1XHFg79jBp7wYv7FR
Da Hool,electronic,track,Meet Her at the Loveparade - Radio Edit,2001,3z5fPVImx59TSttFEDZbFJ
Safri Duo,electronic,track,Played-A-Live (The Bongo Song),2001,7uuo02BIR76qZ6ZXQhz7Ys
Daft Punk,electronic,track,Crescendolls,2001,6vuPZX9fWESg5js2JFTQRJ
Daft Punk,electronic,track,Too Long,2001,3zMvotMEQK3xvH01vA9wAP
Gigi D'Agostino,electronic,track,L'Amour Toujours,2001,52LJ3hyknOijCrE5gCD0rE
Lasgo,electronic,track,Something,2001,4xYQVaR2wQoS6xz0SSa5Ys
Röyksopp,electronic,track,Remind Me,2001,2y8PnhXwnyHTxe72TtY58e
Groove Armada,electronic,track,Superstylin',2001,2yWyFT6bW1Rd9cjVvYi4v8
Röyksopp,electronic,track,So Easy,2001,4MY8NLRDPXKn6CCsGLweLL
James,electronic,track,Getting Away With It (All Messed Up),2001,1oZYaztSjkVQ7PeKwUbdab
Daft Punk,electronic,track,High Life,2001,098ttCNmncrO4YvqWUNMvn
Daft Punk,electronic,track,Aerodynamic,2001,3H3cOQ6LBLSvmcaV7QkZEu
Daft Punk,electronic,track,Superheroes,2001,186hvCTyrni4KT9nwIQ7zS
Röyksopp,electronic,track,Eple,2001,7pbEKdMWHGwPQSDGfcNycM
